발주번호,발주일,공급업체,품목코드,발주수량,단가,납기예정일,발주담당
PO20261054,2026-06-07,abccorp,ITEM011,250,2050,2026-06-17,박구매
PO20261053,2026-06-17,HanwhaAdvanced,ITEM013,120,18700,2026-06-25,이구매
PO20261052,2026-05-01,ABC주식회사,ITEM-001,200,1200,2026-05-07,이구매
PO20261051,2026-04-26,유진케미칼,ITEM006,50,8900,2026-05-02,김구매
PO20261050,2026-06-29,유진케미칼,ITEM019,100,780,2026-07-08,이구매
PO20261049,2026-05-05,유진케미칼,ITEM007,50,6400,2026-05-10,박구매
PO20261048,2026-05-20,대한소재,ITEM005,200,4100,2026-05-29,김구매
PO20261047,2026-06-24,ABC,ITEM010,50,1900,2026-07-07,이구매
PO20261046,2026-04-24,닛폰머티리얼즈,ITEM004,200,5800,2026-05-14,김구매
PO20261045,2026-04-19,HanwhaAdvanced,ITEM013,600,18700,2026-04-29,이구매
PO20261044,2026-05-14,한성정밀,ITEM008,50,2300,2026-05-30,박구매
PO20261043,2026-07-10,HANWHAADVANCED,ITEM012,600,15200,2026-07-19,이구매
PO20261042,2026-04-14,성진패키징,ITEM-014,,320,2026-04-17,박구매
PO20261041,2026-06-14,대한소재,ITEM003,120,3200,2026-06-18,박구매
PO20261040,2026-06-17,ABC,ITEM002,1000,1450,2026-06-23,김구매
PO20261039,2026-06-18,한화어드밴스드,ITEM013,500,18700,2026-06-30,김구매
PO20261038,2026-06-09,유진케미칼,ITEM019,1000,780,2026-06-19,이구매
PO20261037,2026-05-28,ABCCorp,ITEM001,200,1200,2026-06-05,이구매
PO20261036,2026-06-04,NIPPONMATERIALS,ITEM-020,50,24000,2026-06-17,이구매
PO20261035,2026-05-16,ABCCorp,ITEM002,1000,1450,2026-05-25,이구매
PO20261034,2026-06-07,유진케미칼,ITEM006,200,8900,2026-06-15,이구매
PO20261033,2026-05-31,성진패키징,ITEM-014,150,320,2026-06-04,박구매
PO20261032,2026-04-22,유진케미칼,ITEM019,120,780,2026-05-03,김구매
PO20261031,2026-04-30,성진패키징,ITEM015,300,540,2026-05-10,박구매
PO20261031,2026-04-30,성진패키징,ITEM015,300,540,2026-05-10,박구매
PO20261030,2026-05-24,성진패키징,ITEM014,500,320,2026-06-02,이구매
PO20261029,2026-06-08,한화어드밴스드,ITEM013,150,18700,2026-06-19,김구매
PO20261028,2026-04-22,대한소재,ITEM005,500,4100,2026-04-29,박구매
PO20261027,2026-04-15,성진패키징,ITEM014,100,320,2026-04-21,이구매
PO20261026,2026-06-30,유진케미칼,ITEM-007,100,6400,2026-07-07,이구매
PO20261025,2026-04-24,유진케미칼,ITEM006,500,8900,2026-05-01,김구매
PO20261024,2026-05-09,유진케미칼,ITEM007,1000,6400,2026-05-19,박구매
PO20261023,2026-04-03,유진케미칼,ITEM-019,120,780,2026-04-15,김구매
PO20261022,2026-04-08,ABC,ITEM-010,100,1900,2026-04-18,박구매
PO20261021,2026-04-05,HanwhaAdvanced,ITEM012,100,15200,2026-04-16,이구매
PO20261020,2026-05-01,성진패키징,ITEM016,250,210,2026-05-10,박구매
PO20261019,2026-07-07,닛폰머티리얼즈,ITEM020,150,24000,2026-07-25,이구매
PO20261018,2026-04-24,대한소재주식회사,ITEM005,300,4100,2026-04-28,박구매
PO20261017,2026-04-09,abccorp,ITEM011,50,2050,2026-04-22,박구매
PO20261016,2026-05-25,NIPPONMATERIALS,ITEM020,120,24000,2026-06-07,이구매
PO20261015,2026-04-28,NipponMaterials,ITEM020,300,24000,2026-05-13,박구매
PO20261014,2026-07-05,ABC주식회사,ITEM001,500,1200,2026-07-17,이구매
PO20261013,2026-04-06,성진패키징,ITEM015,600,540,2026-04-09,이구매
PO20261012,2026-07-09,대한소재주식회사,ITEM005,500,4100,2026-07-19,박구매
PO20261011,2026-06-19,유진케미칼,ITEM007,600,6400,2026-06-25,박구매
PO20261011,2026-06-19,유진케미칼,ITEM007,600,6400,2026-06-25,박구매
PO20261010,2026-07-06,닛폰머티리얼즈,ITEM020,500,24000,2026-07-19,이구매
PO20261009,2026-06-26,HanwhaAdvanced,ITEM-013,500,18700,2026-07-04,박구매
PO20261008,2026-05-20,닛폰머티리얼즈,ITEM-004,,5800,2026-06-07,김구매
PO20261007,2026-04-20,ABC주식회사,ITEM010,200,1900,2026-04-26,이구매
PO20261006,2026-07-05,NIPPONMATERIALS,ITEM020,250,24000,2026-07-18,김구매
PO20261005,2026-05-25,GlobalPartsInc,ITEM-017,200,95,2026-06-18,이구매
PO20261004,2026-05-13,유진케미칼,ITEM019,600,780,2026-05-24,이구매
PO20261003,2026-06-14,HANWHAADVANCED,ITEM013,500,18700,2026-06-27,박구매
PO20261002,2026-06-07,유진케미칼,ITEM019,300,780,2026-06-13,김구매
PO20261001,2026-06-13,성진패키징,ITEM016,300,210,2026-06-19,이구매
